#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"drivers license","Olivia Rodrigo",28,144,"pop","Pop","drivers license",2021-01-08,04:02,59,44,72,0,13,0,10,-9,A#/B♭ Major,4,2021-05-18,7lPN2DXiMsVn7XUKtOW1CS,"Olivia Rodrigo PS",6B,,https://i.scdn.co/image/ab67616d000048518ffc294c1c4362e8472d14cd
2,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd,Ariana Grande",84,118,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","Save Your Tears (Remix)",2021-04-23,03:11,65,83,2,0,59,0,0,-5,C Major,4,2021-05-18,37BZB0z9T8Xu7U3e65qxFy,"Republic Records",8B,,https://i.scdn.co/image/ab67616d00004851c6af5ffa661a365b77df6ef6
3,"MONTERO (Call Me By Your Name)","Lil Nas X",76,179,"lgbtq+ hip hop","Hip Hop","MONTERO (Call Me By Your Name)",2021-03-31,02:17,61,51,30,0,76,10,30,-7,G#/A♭ Minor,4,2021-05-18,67BtfxlNbhBmCDR2L2l8qd,"Columbia",1A,https://p.scdn.co/mp3-preview/f653a289186d0de9a7685e2958ed5d86e073f3c0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851664034dd80e91b28f773598d
4,"Beggin'","Måneskin",85,134,"indie rock italiano, italian pop","Rock, Pop","Chosen",2017-12-08,03:31,71,80,13,0,59,0,30,-5,B Minor,4,2021-07-21,3Wrjm47oTz2sjIgck11l5e,"RCA Records Label",10A,https://p.scdn.co/mp3-preview/39cd7cd4317a9e4c4fa1277a51eeadb2e300c7de?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fa0ab3a28b5c52d8a5f97045
5,"good 4 u","Olivia Rodrigo",23,169,"pop","Pop","good 4 u",2021-05-14,02:58,56,66,30,0,67,20,10,-5,F#/G♭ Minor,4,2021-05-18,6PERP62TejQjgHu81OHxgM,"Olivia Rodrigo PS",11A,,https://i.scdn.co/image/ab67616d00004851670ec029374e082f921f9f74
6,"Levitating (feat. DaBaby)","Dua Lipa,DaBaby",74,103,"dance pop, pop, uk pop, hip hop, north carolina hip hop, pop rap, rap, trap","Pop, Hip Hop","Levitating (feat. DaBaby)",2020-10-01,03:23,70,83,1,0,92,0,0,-4,F#/G♭ Minor,4,2021-05-18,463CkQjx2Zk1yXoBuierM9,"Warner Records",11A,https://p.scdn.co/mp3-preview/6af6db91dba9103cca41d6d5225f6fe120fcfcd3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c5e7aa639b2920099f8c3b94
7,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber,Daniel Caesar,Giveon",83,90,"canadian pop, pop, canadian contemporary r&b, r&b","R&B, Pop","Justice",2021-03-19,03:18,68,70,32,0,46,10,40,-6,C Major,4,2021-05-18,4iJyoBOLtHqaGxP12qzhQI,"RBMG/Def Jam",8B,,https://i.scdn.co/image/ab67616d00004851e6f407c7f3a0ec98845e4431
8,"Leave The Door Open","Bruno Mars,Anderson .Paak,Silk Sonic",21,148,"dance pop, pop, escape room, hip hop, indie soul, neo soul","Pop, Hip Hop, R&B","Leave The Door Open",2021-03-05,04:02,59,62,18,0,72,0,0,-8,F Major,4,2021-05-18,7MAibcTli4IisCtbHKrGMh,"Aftermath Entertainment/Atlantic",7B,,https://i.scdn.co/image/ab67616d000048516f9e6abbd6fa43ac3cdbeee0
9,"Easy On Me","Adele",84,142,"british soul, pop, pop soul, uk pop","R&B, Pop","Easy On Me",2021-10-14,03:44,60,37,58,0,13,0,10,-8,F Major,4,2021-10-14,0gplL1WMoJ6iYaPgMCL0gX,"Columbia",7B,https://p.scdn.co/mp3-preview/a0cd8077c79a4aa3dcaa68bbc5ecdeda46e8d13f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485150dba34377a595e35f81b0e4
10,"Heartbreak Anniversary","Giveon",82,89,"r&b","R&B","TAKE TIME",2020-03-27,03:18,45,47,52,0,54,0,30,-9,C Major,3,2021-05-18,3FAJ6O0NOHQV8Mc5Ri6ENp,"Epic/Not So Fast",8B,https://p.scdn.co/mp3-preview/12200deba2a2f8126ff4430d35fec1be2969e87f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513317fc12f8b9a9a0b8459766
11,"STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",85,170,"australian hip hop, canadian pop, pop","Hip Hop, Pop","STAY (with Justin Bieber)",2021-07-09,02:21,59,76,4,0,48,0,10,-5,C♯/D♭ Major,4,2021-07-15,5HCyWlXZPP0y6Gqq8TgA20,"Columbia",3B,https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485141e31d6ea1d493dd77933ee5
12,"Happier Than Ever","Billie Eilish",87,81,"art pop, pop","Pop","Happier Than Ever",2021-07-30,04:58,33,23,77,0,30,0,10,-9,C Major,3,2021-10-04,4RVwu0g32PAqgUiJoXsdF8,"Darkroom/Interscope Records",8B,,https://i.scdn.co/image/ab67616d000048512a038d3bf875d23e4aeaa84e
13,"deja vu","Olivia Rodrigo",15,181,"pop","Pop","deja vu",2021-04-01,03:35,44,61,59,0,17,10,30,-7,A Major,4,2021-05-18,61KpQadow081I2AsbeLcsb,"Olivia Rodrigo PS",11B,,https://i.scdn.co/image/ab67616d000048515a61e19eaffec620c1899c47
14,"telepatía","Kali Uchis",86,84,"colombian pop","Pop","Sin Miedo (del Amor y Otros Demonios) ∞",2020-12-04,02:40,65,52,11,0,55,0,20,-9,B Minor,4,2021-05-18,6tDDoYIxWvMLTdKpjFkc1B,"EMI / Interscope",10A,,https://i.scdn.co/image/ab67616d00004851044a5466dac00f7b3c570b99
15,"34+35","Ariana Grande",81,110,"pop","Pop","Positions",2020-10-30,02:53,83,59,24,0,49,0,20,-6,C Major,4,2021-05-18,6Im9k8u9iIzKMrmV7BWtlF,"Republic Records",8B,,https://i.scdn.co/image/ab67616d000048515ef878a782c987d38d82b605
16,"Woman","Doja Cat",86,108,"dance pop, pop","Pop","Planet Her",2021-06-25,02:52,82,76,9,0,88,0,10,-4,F Minor,4,2021-09-10,6Uj1ctrBOjOas8xZXGqKk4,"Kemosabe Records/RCA Records",4A,https://p.scdn.co/mp3-preview/2ae0b61e45d9a5d6454a3e5ab75f8628dd89aa85?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851be841ba4bc24340152e3a79a
17,"MONEY","LISA",79,140,"k-pop","Pop","LALISA",2021-09-10,02:48,83,55,16,0,40,20,10,-10,C♯/D♭ Minor,4,2023-04-21,7hU3IHwjX150XLoTVmjD0q,"YG Entertainment/Interscope Records",12A,https://p.scdn.co/mp3-preview/e1c5f17e97bd20c2652783632c4fe5afaf692bba?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851330f11fb125bb80b760f9e19
18,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X,Jack Harlow",79,150,"lgbtq+ hip hop, deep underground hip hop, kentucky hip hop, pop rap, rap","Hip Hop","MONTERO",2021-09-17,03:32,74,69,2,0,89,0,0,-7,A#/B♭ Minor,4,2022-05-16,5Z9KJZvQzH6PFmb8SNkxuk,"Columbia",3A,https://p.scdn.co/mp3-preview/2bfa1aca3b507df2cc3aac0b37bbc05b74c096cd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851be82673b5f79d9658ec0a9fd
19,"Astronaut In The Ocean","Masked Wolf",77,150,"australian hip hop","Hip Hop","Astronaut In The Ocean",2021-01-06,02:12,78,70,18,0,47,0,10,-7,E Minor,4,2021-05-18,3Ofmpyhv5UAQ70mENzB277,"Elektra (NEK)",9A,https://p.scdn.co/mp3-preview/e89e477c2467c477031561ff801c055c5777de4f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485197fdd7cf1b14d78c6a7fb17f
20,"Bad Habits","Ed Sheeran",16,126,"pop, singer-songwriter pop, uk pop","Pop","Bad Habits",2021-06-25,03:51,81,90,5,0,59,0,30,-4,B Minor,4,2021-06-27,6PQ88X9TkUIAUIZJHW2upE,"Atlantic Records UK",10A,,https://i.scdn.co/image/ab67616d000048514e03a288fd79707055759f9c
21,"Good Days","SZA",81,121,"pop, r&b, rap","Pop, R&B, Hip Hop","Good Days",2020-12-25,04:39,44,66,50,0,41,0,60,-8,C♯/D♭ Minor,4,2021-05-18,3YJJjQPAbDT7mGpX3WtQ9A,"Top Dawg Entertainment/RCA Records",12A,https://p.scdn.co/mp3-preview/ddda59aa9a028820fc0fb6ff05ae463924843191?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513097b1375ab17ae5bf302a0a
22,"pov","Ariana Grande",76,132,"pop","Pop","Positions",2020-10-30,03:21,49,53,36,0,17,0,10,-6,C Minor,4,2021-05-18,3UoULw70kMsiVXxW0L3A33,"Republic Records",5A,,https://i.scdn.co/image/ab67616d000048515ef878a782c987d38d82b605
23,"My Universe","Coldplay,BTS",81,105,"permanent wave, pop, k-pop, k-pop boy group","Pop, Rock","My Universe",2021-09-24,03:48,59,70,1,0,44,0,20,-6,A Major,4,2021-10-04,3FeVmId7tL5YN8B7R3imoM,"Parlophone UK",11B,https://p.scdn.co/mp3-preview/e6b780d0df7927114477a786b6a638cf40d19579?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f60a9b7e2abafc38da31f575
24,"Kiss Me More (feat. SZA)","Doja Cat,SZA",79,111,"dance pop, pop, r&b, rap","Pop, R&B, Hip Hop","Kiss Me More (feat. SZA)",2021-04-09,03:28,76,70,24,0,74,0,10,-4,G#/A♭ Major,4,2021-05-18,748mdHapucXQri7IAO8yFK,"Kemosabe Records/RCA Records",4B,https://p.scdn.co/mp3-preview/e3ea7622ca746e1e96c3dac7d7e07b7ccfdeb3f1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516c031afd210aed3084f80956
25,"Butter","BTS",5,110,"k-pop, k-pop boy group, pop","Pop","Butter",2021-05-21,02:44,76,46,0,0,70,0,0,-5,G#/A♭ Major,4,2021-05-21,3VqeTFIvhxu3DIe4eZVzGq,"BIGHIT MUSIC / HYBE",4B,,https://i.scdn.co/image/ab67616d00004851ed656680374294d5217193fa
26,"Fair Trade (with Travis Scott)","Drake,Travis Scott",86,168,"canadian hip hop, canadian pop, hip hop, pop rap, rap, slap house","Hip Hop, Pop, Electronic","Certified Lover Boy",2021-09-03,04:51,67,47,5,0,29,20,20,-9,C♯/D♭ Major,4,2021-09-10,40iJIUlhi6renaREYGeIDS,"OVO",3B,,https://i.scdn.co/image/ab67616d00004851cd945b4e3de57edd28481a3f
