#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Flowers","Miley Cyrus",38,118,"pop","Pop","Flowers",2023-01-13,03:20,71,68,6,0,65,0,0,-4,C Major,4,2023-01-13,0yLdNVWF3Srea0uzk55zFn,"Columbia",8B,,https://i.scdn.co/image/ab67616d00004851f429549123dbe8552764ba1d
2,"Kill Bill","SZA",92,89,"pop, r&b, rap","Pop, R&B, Hip Hop","SOS",2022-12-08,02:33,64,74,5,14,42,0,10,-6,G#/A♭ Major,4,2023-01-07,1Qrg8KqiBpW07V7PNxwwwL,"Top Dawg Entertainment/RCA Records",4B,https://p.scdn.co/mp3-preview/4bd2dc84016f3743add7eea8b988407b1b900672?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510c471c36970b9406233842a5
3,"Creepin' (with The Weeknd & 21 Savage)","Metro Boomin,The Weeknd,21 Savage",92,98,"rap, canadian contemporary r&b, canadian pop, pop, atl hip hop, hip hop","Hip Hop, R&B, Pop","HEROES & VILLAINS",2022-12-02,03:41,72,62,42,0,17,0,0,-6,C♯/D♭ Minor,4,2023-01-07,2dHHgzDwk4BJdRwy9uXhTO,"Republic Records",12A,,https://i.scdn.co/image/ab67616d00004851c4fee55d7b51479627c31f89
4,"Seven (feat. Latto) (Explicit Ver.)","Jung Kook,Latto",91,125,"k-pop, trap queen","Pop, R&B","Seven (feat. Latto)",2023-07-14,03:04,80,83,31,0,89,0,0,-4,B Major,4,2023-07-20,7x9aauaA9cu6tyfpHnqDLo,"BIGHIT MUSIC",1B,https://p.scdn.co/mp3-preview/2f2b3f4eaf405ac3ba9792456cec93ae88942cfc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf5cce5a0e1ed03a626bdd74
5,"Cruel Summer","Taylor Swift",99,170,"pop","Pop","Lover",2019-08-23,02:58,55,70,12,0,56,10,10,-6,A Major,4,2023-06-30,1BxfuPKGuaTgP7aM0Bbdwr,"Taylor Swift",11B,,https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647
6,"Die For You - Remix","The Weeknd,Ariana Grande",83,67,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","Die For You (Remix)",2023-02-24,03:52,53,53,23,0,50,0,40,-7,C♯/D♭ Minor,4,2023-02-24,7oDd86yk8itslrA9HRP2ki,"XO / Republic Records",12A,,https://i.scdn.co/image/ab67616d000048518de12a274f6e1df6634f57ec
7,"vampire","Olivia Rodrigo",52,138,"pop","Pop","vampire",2023-06-30,03:39,51,53,17,0,32,0,30,-6,F Major,4,2023-06-30,3k79jB4aGmMDUQzEwa46Rz,"Olivia Rodrigo PS",7B,,https://i.scdn.co/image/ab67616d000048511e5e75dc1d878a0007cb6525
8,"greedy","Tate McRae",100,111,"alt z, pop","Pop","greedy",2023-09-15,02:11,75,73,26,0,84,0,10,-3,F#/G♭ Minor,1,2023-09-16,3rUGC1vUpkDG9CZFHMur1t,"RCA Records Label",11A,https://p.scdn.co/mp3-preview/ca7bdcb691fb64a5af8a3253b89356390664fcf1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485122fd802bc61db666c7c81aa8
9,"Boy's a liar Pt. 2","PinkPantheress,Ice Spice",84,133,"bedroom pop, bronx drill","Pop","Boy's a liar Pt. 2",2023-02-03,02:11,70,81,25,0,86,0,20,-8,F Major,4,2023-02-10,6AQbmUe0Qwf5PZnt4HmTXv,"Warner Records",7B,https://p.scdn.co/mp3-preview/543d8d09a5530a1ab94dd0c6f83fc4ee3e0d7f96?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519567e1aa41657425d046733b
10,"Ella Baila Sola","Eslabon Armado,Peso Pluma",87,148,"corrido, corridos tumbados, sad sierreno, sierreno","Latin","Ella Baila Sola",2023-03-16,02:45,67,76,48,0,83,0,0,-5,F Minor,3,2023-04-03,3dnP0JxCgygwQH9Gm7q7nb,"DEL Records",4A,https://p.scdn.co/mp3-preview/5d39f3e17f1e20e2711d033001e48b8d4249b992?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512071a0c79802d9375a53bfef
