#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Beirut","Ibrahim Maalouf",46,64,"arabic jazz, french jazz, jazz trumpet","Jazz","Diagnostic (Version remasterisée)",2011-10-26,10:39,26,22,67,94,5,0,10,-11,G Minor,5,2021-07-06,0Sy2FEb4SM0EEZZPCZTolt,"Mi'ster",6A,https://p.scdn.co/mp3-preview/7d8574c8337cd60eb71c53f816363e06e8c8c9c7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851388b1d4b4fcfe0c23da9130d
2,"Eternity And A Day: 2. By The Sea","Eleni Karaindrou",60,162,"greek contemporary classical, soundtrack","Classical, Easy listening","Eternity And A Day",1998-12-01,01:47,36,4,99,76,18,0,10,-27,A#/B♭ Minor,4,2021-07-06,595G0No6FI82sWWsbsQEoX,"ECM New Series",3A,,https://i.scdn.co/image/ab67616d00004851f2cb275b4e20ea85b85fe193
3,"Gnossienne No.1","Erkan Oğur",0,72,"ney, turkish folk, turkish jazz","Folk/Acoustic, Jazz","Dönmez Yol",2012-03-26,04:39,48,9,99,76,14,0,10,-17,F Minor,4,2021-07-06,22moT6T8yDX2GVT7iOScH8,"KALAN SES GÖRÜNTÜ",4A,,https://i.scdn.co/image/ab67616d00004851eed361942302b84a6be6cb85
4,"Goodbye Llano","Lilium",0,91,"gothic americana","Country","Transmissions of All the Goodbyes",2000-10-27,04:59,48,19,85,85,33,0,0,-19,G Minor,4,2021-07-06,2PtD6gxjjpyn4KybOCwYiJ,"Glitterhouse Records",6A,,https://i.scdn.co/image/ab67616d00004851755b65961f41f60fc52a7ff9
5,"Swell","Lilium",0,73,"gothic americana","Country","Transmissions of All the Goodbyes",2000-10-27,03:20,6,1,74,82,4,0,10,-25,E Minor,4,2021-07-06,27rPE9ZpTrQ3IhulJgwXUL,"Glitterhouse Records",9A,,https://i.scdn.co/image/ab67616d00004851755b65961f41f60fc52a7ff9
6,"Beginning of the Water Line","Lilium",0,179,"gothic americana","Country","Transmissions of All the Goodbyes",2000-10-27,01:02,27,38,73,92,4,0,10,-13,G Minor,3,2021-07-06,7bfQmBWNI7W6ML3Csvzkb5,"Glitterhouse Records",6A,,https://i.scdn.co/image/ab67616d00004851755b65961f41f60fc52a7ff9
7,"Loveless Road","Lilium",0,95,"gothic americana","Country","Transmissions of All the Goodbyes",2000-10-27,05:53,54,55,10,74,63,0,0,-10,G Minor,4,2021-07-06,1hz1hYjrCtHvCjuumNE2nv,"Glitterhouse Records",6A,,https://i.scdn.co/image/ab67616d00004851755b65961f41f60fc52a7ff9
8,"Sleeping Inside","Lilium",0,131,"gothic americana","Country","Transmissions of All the Goodbyes",2000-10-27,03:27,48,21,94,92,10,0,10,-16,G Minor,3,2021-07-06,6hbbXqOeOtqjodSMLmlmdt,"Glitterhouse Records",6A,,https://i.scdn.co/image/ab67616d00004851755b65961f41f60fc52a7ff9
9,"Sidewinder","Black Chamber",20,121,"dark jazz","Jazz","Black Chamber",2016-06-03,05:12,23,73,47,0,52,0,10,-6,A#/B♭ Major,3,2021-07-06,57jvUEUY3Mi6xG3WyVOGAK,"Cult Classic Records",6B,https://p.scdn.co/mp3-preview/7d21c6d2c900c0982f687585a216d6bb07987487?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f248e7f14d9b08379baa7185
10,"Difference Engine","Black Chamber",21,120,"dark jazz","Jazz","Black Chamber",2016-06-03,05:13,44,42,63,52,11,0,0,-11,D Minor,4,2021-07-06,2l66EbX41oqO5cLyHkwaDn,"Cult Classic Records",7A,https://p.scdn.co/mp3-preview/38c944913d582b393ebfafd5167282dfacaaa31a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f248e7f14d9b08379baa7185
11,"Other Days","Black Chamber",34,81,"dark jazz","Jazz","Black Chamber",2016-06-03,03:35,44,33,83,72,17,0,0,-13,G Major,4,2021-07-06,5gYhBqvLSaTX3LHW1OoJMQ,"Cult Classic Records",9B,https://p.scdn.co/mp3-preview/0e18093e39f3049eea2de82ab101a5125bd8d20c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f248e7f14d9b08379baa7185
12,"While My Guitar Gently Weeps","Black Chamber",26,117,"dark jazz","Jazz","Black Chamber",2016-06-03,04:39,58,35,77,43,16,0,10,-10,G Major,4,2021-07-06,3HsWnFHOH1pgDEDkWSitIi,"Cult Classic Records",9B,https://p.scdn.co/mp3-preview/3879f95943fcda8520ddea4b384ba37cbbfeea1f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f248e7f14d9b08379baa7185
13,"Teleology","Black Chamber",32,113,"dark jazz","Jazz","Black Chamber",2016-06-03,04:25,39,40,54,0,20,0,10,-12,D Minor,4,2021-07-06,3xXI8pxcgo5SlHYfmA7J0t,"Cult Classic Records",7A,https://p.scdn.co/mp3-preview/91f6b47e6c6c65fe8f119cec81cd3ce4cde43e05?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f248e7f14d9b08379baa7185
14,"Asturias","Isaac Albéniz,Ahmet Kanneci",7,132,"classical, impressionism, post-romantic era, spanish classical, classical guitar","Classical","Popular Classics",2002-12-19,06:48,33,15,93,95,20,0,10,-21,E Minor,1,2021-07-06,5Zf2RXpUNLdOPnhY3HJW0Z,"Sony Classical",9A,https://p.scdn.co/mp3-preview/de99cbaab489b6be35b487ba9a012ef1b92d3057?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851be02f8ee33d60fbd44d93679
15,"Milonga","José Cardoso,Ahmet Kanneci",5,104,"classical guitar","Classical","Popular Classics",2002-12-19,02:26,41,17,96,90,30,0,10,-21,D Minor,4,2021-07-06,1a7ejIhit8vM3pS7Y6RQ5o,"Sony Classical",7A,https://p.scdn.co/mp3-preview/51db50944da090425d72197a02aed5d01291e11a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851be02f8ee33d60fbd44d93679
16,"Guardame Las Vacas","Luis de Narváez,Ahmet Kanneci",13,83,"renaissance, spanish renaissance, classical guitar","Classical","Popular Classics",2002-12-19,04:32,25,23,94,87,26,0,10,-19,G Major,3,2021-07-06,1dKlaJ0nTOmWlqvd8bJlO4,"Sony Classical",9B,https://p.scdn.co/mp3-preview/5e8bd34339c2f8c1ba5743064041b73e40837696?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851be02f8ee33d60fbd44d93679
17,"Affection","Jinsang",0,84,"chillhop, japanese chillhop, korean r&b, lo-fi beats","Electronic, R&B","Life",2016-12-23,01:57,70,19,91,94,61,0,0,-15,C♯/D♭ Major,4,2021-07-06,4p5eACHBSDSKxvPrN1Ej5p,"VinDig",3B,,https://i.scdn.co/image/ab67616d00004851dc9c43833ff4765cfa7bb677
18,"Far Away","Tomppabeats",0,73,"chillhop, japanese chillhop, lo-fi beats","Electronic","Harbor",2016-05-06,00:52,68,50,44,96,72,10,10,-11,A#/B♭ Minor,4,2021-07-06,3pUMsLZIy50bhHOR8K8EKG,"VinDig",3A,,https://i.scdn.co/image/ab67616d00004851d5800f8720e1714bce93cad7
19,"controlla","Idealism",0,80,"chillhop, lo-fi beats","Electronic","rainy evening ep",2017-08-31,01:48,79,45,54,69,55,0,20,-10,F#/G♭ Major,4,2021-07-06,7pAwFD2HMqGxTnDq8ujxMZ,"Repost Network",2B,,https://i.scdn.co/image/ab67616d00004851d0f23985fce01246876fcb32
20,"Those Nights","o k h o,Saito",0,84,"lo-fi beats","Electronic","La Caffetteria",2015-04-11,01:09,69,40,98,35,50,10,30,-14,C Major,4,2021-07-06,1zeeBuRN673myzF7eu0Xva,"Independent",8B,,https://i.scdn.co/image/ab67616d00004851c9c1b8fcf84716a84c23fb48
21,"Touch","Kawfee",0,173,"","","Some Other Time, Maybe",2018-01-09,01:40,73,34,47,92,50,20,10,-10,D#/E♭ Minor,4,2021-07-06,52nVxIkEHfVtTE2hyfRdJx,"Inner Ocean Records",2A,,https://i.scdn.co/image/ab67616d000048516fef4f02689cee84e548c2d5
22,"trees","mt. fujitive",0,81,"lo-fi beats","Electronic","ventures - EP",2018-01-12,02:27,72,28,71,86,79,0,10,-12,F Minor,4,2021-07-06,67yxF1IrpGW74uQSr359Sl,"VinDig",4A,,https://i.scdn.co/image/ab67616d00004851df36b8b44b14c41297e60403
