#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Tornado Of Souls - 2004 Remix","Megadeth",68,98,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Rust In Peace (2004 Remix / Expanded Edition)",1990-10-04,05:19,52,98,0,0,36,10,10,-4,G Major,4,2021-03-10,4E5xVW505akJX0wcKj8Mpd,"Capitol Records",9B,,https://i.scdn.co/image/ab67616d00004851be9fa5a89479b6af481938a0
2,"Symphony Of Destruction","Megadeth",71,140,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Countdown To Extinction (Expanded Edition - Remastered)",1992-07-14,04:06,61,89,0,9,51,0,0,-5,E Minor,4,2021-03-10,51TG9W3y9qyO8BY5RXKgnZ,"Capitol Records",9A,,https://i.scdn.co/image/ab67616d000048517b178f928742be1492c6fba2
3,"Seasons In The Abyss","Slayer",61,152,"alternative metal, death metal, groove metal, hard rock, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Seasons In The Abyss",1990-01-01,06:37,26,97,0,0,17,10,0,-4,F Minor,4,2022-03-08,3Ky8IzV8IVSwijtaTWB2SK,"American Recordings Catalog P&D",4A,,https://i.scdn.co/image/ab67616d00004851c0c12d83c0488024b66c9739
4,"The Trooper - 2015 Remaster","Iron Maiden",76,160,"alternative metal, hard rock, metal, nwobhm, rock","Metal, Rock","Piece of Mind (2015 Remaster)",1983-00-00,04:12,28,91,3,1,67,0,30,-5,E Minor,4,2022-03-08,4OROzZUy6gOWN4UGQVaZMF,"Parlophone UK",9A,https://p.scdn.co/mp3-preview/44ed0e1d3b2183b4e3a3c0413a47b92ff9b0a485?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512277d1a849a63c7075ec38ff
5,"Got The Time","Anthrax",62,128,"alternative metal, glam metal, groove metal, hard rock, metal, nu metal, old school thrash, rap metal, rock, speed metal, thrash metal","Metal, Rock","Persistence Of Time (30th Anniversary Remaster)",1990-08-21,02:44,37,97,0,0,44,10,0,-5,A#/B♭ Minor,4,2022-03-08,3cFnb3Rg9a7Gzqxc5QQ9YZ,"Island Records",3A,,https://i.scdn.co/image/ab67616d0000485147c265a8dd3ca4a2349f43ab
6,"One","Metallica",76,102,"hard rock, metal, old school thrash, rock, thrash metal","Rock, Metal","...And Justice For All",1988-08-25,07:27,44,70,0,9,41,0,10,-9,G Major,3,2022-03-08,5IX4TbIR5mMHGE4wiWwKW0,"Blackened Recordings / Universal Music",9B,,https://i.scdn.co/image/ab67616d000048517c05e69390ab7c628a83cee7
7,"Sudden Death","Megadeth",21,160,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Th1rt3en",2011-10-26,05:09,43,95,0,1,34,20,0,-4,C Major,4,2022-03-08,2DbEz7cLYTUu48o5D6iCP4,"Echo",8B,,https://i.scdn.co/image/ab67616d00004851dbbbe6600a179a3bc4f696f4
8,"Iron Man","Black Sabbath",47,157,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal","Rock, Metal","Paranoid (2009 Remastered Version)",1970-09-18,05:54,33,77,0,0,53,0,0,-12,A Major,4,2021-03-10,0TI8TP4FitVPoEHPTySx48,"Sanctuary Records",11B,,https://i.scdn.co/image/ab67616d000048519683e5d7361bb80bfb00f46d
9,"Paranoid","Black Sabbath",57,163,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal","Rock, Metal","Paranoid (2009 Remastered Version)",1970-09-18,02:48,43,63,0,0,38,0,10,-12,E Minor,4,2021-03-10,1jzDzZWeSDBg5fhNc3tczV,"Sanctuary Records",9A,,https://i.scdn.co/image/ab67616d000048519683e5d7361bb80bfb00f46d
10,"Heaven and Hell - 2009 Remaster","Black Sabbath",38,89,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal","Rock, Metal","Heaven & Hell",1980-04-25,06:57,33,45,1,5,35,0,10,-16,D#/E♭ Minor,4,2021-03-10,3HzWxmvpQU3QHQ59zw1X4V,"Sanctuary Records",2A,,https://i.scdn.co/image/ab67616d000048511714d5e8b43f9e63572d550d
11,"God Is Dead?","Black Sabbath",0,118,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal","Rock, Metal","13",2013-01-01,08:52,38,73,0,0,16,0,0,-5,D#/E♭ Minor,4,2021-03-10,42wFRybIJ2n5RoD7r9R8Rz,"Universal Music Group",2A,,https://i.scdn.co/image/ab67616d00004851434a107771d0c4dd4dda9a08
