#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Upside Down","Jack Johnson",76,102,"neo mellow","Folk/Acoustic","Upside Down",2006-02-24,03:29,79,65,26,0,69,0,10,-8,E Major,4,2021-07-05,0aJrYfARfCKzv6gXjhs4SZ,"Brushfire Records/Universal",12B,,https://i.scdn.co/image/ab67616d00004851f401bb58442523100aee4869
2,"Pretty Fly (For A White Guy)","The Offspring",78,143,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk","Metal, Rock, Pop","Americana",1998-11-16,03:08,72,90,9,0,96,10,0,-4,B Minor,4,2021-07-05,3SFXsFpeGmBTtQvKiwYMDA,"Round Hill Music (Offspring)",10A,,https://i.scdn.co/image/ab67616d00004851cbd2ee7dff77bfb2b5f0af52
3,"Island In The Sun","Weezer",82,115,"alternative rock, modern power pop, modern rock, permanent wave, rock","Rock, Pop","Weezer",2001-05-15,03:20,65,81,1,0,66,0,10,-6,E Minor,4,2021-07-05,2MLHyLy5z5l5YRp7momlgw,"Geffen",9A,,https://i.scdn.co/image/ab67616d000048511e0dc5baaabda304b0ad1815
4,"Don't Threaten Me with a Good Time","Panic! At The Disco",70,184,"modern rock, pop","Rock, Pop","Death of a Bachelor",2016-01-15,03:33,56,90,2,0,59,0,10,-4,C♯/D♭ Minor,4,2021-07-05,2fh3bZ8jZhMxOcfESE9nQY,"Decaydance/Fueled By Ramen",12A,https://p.scdn.co/mp3-preview/70f3389c12b787391682eeeb845902aae709b5e1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485123152d9337d6c57b116ed13a
5,"I Write Sins Not Tragedies","Panic! At The Disco",74,170,"modern rock, pop","Rock, Pop","A Fever You Can't Sweat Out",2005-09-27,03:05,57,82,7,0,67,10,10,-4,A Minor,4,2021-07-05,5cY8y2XgOfkAh4kSWLFKkz,"Fueled By Ramen/ADA",8A,https://p.scdn.co/mp3-preview/6c56a9bd72eeab840a88d78edc78a56de6320fe8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e8b923caee478adf4a5b56de
6,"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA",84,120,"europop, swedish pop","Pop","Voulez-Vous",1979-00-00,04:52,75,49,2,1,54,0,10,-10,A#/B♭ Major,4,2021-07-05,3vkQ5DAB1qQMYO4Mr9zJN6,"Polar Music International AB",6B,,https://i.scdn.co/image/ab67616d00004851aa22899360d8ba6704732dec
7,"Sisyphus","Andrew Bird",63,83,"baroque pop, chamber pop, chicago indie, indie rock, melancholia, stomp and holler","Pop, Rock, Folk/Acoustic","My Finest Work Yet",2019-03-22,04:07,63,79,23,0,46,0,0,-4,C Minor,4,2021-07-05,403vzOZN0tETDpvFipkNIL,"Loma Vista Recordings",5A,,https://i.scdn.co/image/ab67616d0000485174ffdd29cc4898e8ed01d747
8,"Song 2 - 2012 Remaster","Blur",83,130,"alternative rock, britpop, madchester, permanent wave, rock","Rock, Pop","Blur (Special Edition)",1997-02-10,02:01,67,79,0,1,92,0,0,-7,G#/A♭ Major,4,2021-07-05,1FTSo4v6BOZH9QxKc3MbVM,"Parlophone UK",4B,https://p.scdn.co/mp3-preview/2c2b4ad08b6ef072182e9b38c386f54623aef4fc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851de114203356c1f7b136960b6
9,"Think About Things","Daði Freyr",0,127,"icelandic pop, sunnlensk tonlist","Pop","Söngvakeppnin 2020",2020-01-18,02:53,87,29,2,0,65,0,10,-11,D#/E♭ Minor,4,2021-07-05,5crhbtfcOWIfN5NbkqQRql,"Ríkisútvarpið - Exclusively distributed by Alda Music",2A,,https://i.scdn.co/image/ab67616d0000485104c7f62f1ecf29cfc4c1df3b
10,"Hymn for the Weekend","Coldplay",86,90,"permanent wave, pop","Rock, Pop","A Head Full of Dreams",2015-12-04,04:18,49,69,21,0,41,0,30,-6,C Minor,4,2021-07-05,3RiPr603aXAoi4GHyXx0uy,"Parlophone UK",5A,https://p.scdn.co/mp3-preview/cb0aa0a64ef56a161fbe2b298174cd69d8a71a9d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518ff7c3580d429c8212b9a3b6
