#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Big Poppa - 2005 Remaster","The Notorious B.I.G.",81,84,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap","Hip Hop","Ready to Die (The Remaster)",1994-09-13,04:12,78,57,43,0,77,20,10,-7,A Minor,4,2021-07-05,2g8HN35AnVGIk7B8yMucww,"Bad Boy Records",8A,https://p.scdn.co/mp3-preview/7674508c1c15cb2a27323eba7c6ef99256a58300?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851db09958534ac66f9a90d3cf7
2,"Ruff Ryders' Anthem","DMX",73,91,"detroit hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap","Hip Hop","It's Dark And Hell Is Hot",1998-05-01,03:34,88,58,6,0,74,30,20,-8,A#/B♭ Minor,4,2021-07-05,1BKT2I9x4RGKaKqW4up34s,"Def Jam Recordings",3A,,https://i.scdn.co/image/ab67616d0000485111658b970e0518be491871df
3,"X Gon' Give It To Ya","DMX",74,95,"detroit hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap","Hip Hop","The Definition Of X: Pick Of The Litter",2007-06-12,03:37,76,90,1,0,67,10,0,-3,A#/B♭ Minor,4,2021-07-05,1zzxoZVylsna2BQB65Ppcb,"RAL",3A,,https://i.scdn.co/image/ab67616d0000485101a6faf91e207748e8e32e0a
4,"Triumph (feat. Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah & Raekwon)","Wu-Tang Clan,Ol' Dirty Bastard,Inspectah Deck,Method Man,Cappadonna,U-God,RZA,GZA,Masta Killa,Ghostface Killah,Raekwon",65,91,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap","Hip Hop","Wu-Tang Forever",1997-06-03,05:38,74,64,0,0,32,30,30,-7,D Major,4,2021-07-05,3glqlA5qY3bbo8UaUDGPnw,"LOUD Records",10B,https://p.scdn.co/mp3-preview/5a6e8bec4846a5a650774ed0a01e3580005ee475?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485177e8e20e0ac6182f94654a23
5,"Bring Da Ruckus (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck)","Wu-Tang Clan,RZA,Ghostface Killah,Raekwon,Inspectah Deck",63,88,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap","Hip Hop","Enter The Wu-Tang (36 Chambers) [Expanded Edition]",1993-11-09,04:11,79,63,23,0,52,30,30,-9,B Major,4,2021-07-05,1v5cgIyffYtfEx0swttdoE,"RCA Records Label",1B,https://p.scdn.co/mp3-preview/cd9b9cb44ce3d7805dfbd7fa90f054da884170a9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515901aaa980d3e714bf01171c
6,"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)","Wu-Tang Clan,RZA,Method Man,Inspectah Deck,Raekwon,U-God,Ol' Dirty Bastard,Ghostface Killah,GZA",69,102,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap","Hip Hop","Enter The Wu-Tang (36 Chambers) [Expanded Edition]",1993-11-09,04:51,82,55,3,0,81,30,80,-11,G#/A♭ Minor,4,2021-07-05,1Sgj10byiGzPpI2IrXSFEn,"RCA Records Label",1A,https://p.scdn.co/mp3-preview/68504ca80a28f6eb6dd716e34bcbb7b728ad1384?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515901aaa980d3e714bf01171c
7,"Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man)","Wu-Tang Clan,RZA,Inspectah Deck,Method Man",68,99,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap","Hip Hop","Enter The Wu-Tang (36 Chambers) [Expanded Edition]",1993-11-09,03:36,83,57,20,0,66,30,30,-11,A#/B♭ Minor,4,2021-07-05,24vNw0Z0srb4zYXwrakw8E,"RCA Records Label",3A,https://p.scdn.co/mp3-preview/753a6ea3154d670872ee2e743d2cb31f1a94e456?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515901aaa980d3e714bf01171c
8,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)","Wu-Tang Clan,Method Man,Raekwon,Inspectah Deck,Buddha Monk",78,181,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, wu fam","Hip Hop","Enter The Wu-Tang (36 Chambers) [Expanded Edition]",1993-11-09,04:12,48,55,57,2,58,30,10,-11,B Minor,4,2021-07-05,119c93MHjrDLJTApCVGpvx,"RCA Records Label",10A,https://p.scdn.co/mp3-preview/a4a5cbb514e2f34d0152da0f9f76d48d07995e5c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515901aaa980d3e714bf01171c
9,"P.I.M.P.","50 Cent",81,85,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap","Hip Hop","Get Rich Or Die Tryin'",2003-02-06,04:09,71,77,5,0,85,30,0,-3,A#/B♭ Minor,4,2021-07-05,3G0yz3DZn3lfraledmBCT0,"Shady Records",3A,,https://i.scdn.co/image/ab67616d00004851d843fabb75fef14010e30cae
10,"Just A Lil Bit","50 Cent",80,97,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap","Hip Hop","The Massacre",2005-03-03,03:57,49,69,3,1,53,40,30,-7,C♯/D♭ Major,4,2021-07-05,4nva9EpKntUTs6CRSGBCn9,"Aftermath/Shady",3B,,https://i.scdn.co/image/ab67616d0000485191f7222996c531b981e7bb3d
