#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview,
1,Some Feeling,Mild Orange,0,129,"dunedin indie, nz indie","Folk/Acoustic, Rock",Foreplay,4/18/2018,3:17,74,51,45,0,58,0,10,-8,A Minor,4,3/24/2021,1fNlnYQkud28rZl1OnWXGY,Mild Orange,8A,,https://i.scdn.co/image/ab67616d000048512698e3aa03ed370c34a7bb73,
2,Lioness,Songs: Ohia,0,80,"alternative country, chamber pop, indie rock, lo-fi, slowcore","Country, Pop, Rock, Folk/Acoustic",The Lioness,1/17/2000,6:36,50,32,40,3,18,0,10,-12,G#/A♭ Minor,4,3/24/2021,60DGbYeckYGaNA7ZBt5j0F,Secretly Canadian,1A,,https://i.scdn.co/image/ab67616d000048517b5518268a25358a98ca8eba,
3,Keep It Healthy,Warpaint,0,134,"alternative dance, art pop, chamber pop, dance-punk, dream pop, electronica, experimental pop, indie rock, la indie, modern dream pop, neo-synthpop, new rave, noise pop, shimmer pop","Rock, Pop, Electronic",Warpaint,2013-00-00,4:01,52,64,18,3,61,0,10,-9,G Major,4,3/24/2021,7h7FjEmIgsFdl9zbUfySnZ,Rough Trade,9B,,https://i.scdn.co/image/ab67616d00004851bba60f7cdda901d01738a5d8,
4,Funeral Pyre,Phantogram,36,168,"indietronica, metropopolis, neo-synthpop","Pop, Electronic",Three,10/7/2016,4:05,39,85,0,75,17,0,20,-6,C Major,4,3/24/2021,79uGuP3o5HO5ZlXTWbq0LW,Universal Records,8B,,https://i.scdn.co/image/ab67616d00004851d99618fc2eed49eb1b67d6af,
5,Ghostride,Crumb,0,87,neo-psychedelic,Folk/Acoustic,Jinx,6/14/2019,2:06,67,35,51,83,47,0,10,-9,D Major,4,3/24/2021,476QHG5G8xxNI9VHTBFfjp,Crumb Records,10B,,https://i.scdn.co/image/ab67616d000048519d45a127005f8a96652280bd,
6,Crossbones Style,Cat Power,0,111,"art pop, indie rock, melancholia, singer-songwriter, slowcore","Pop, Rock, Folk/Acoustic",Presents Music from Searching for The Wrong Eyed Jesus,1/1/2005,4:32,50,64,77,5,32,0,10,-10,F#/G♭ Major,4,3/24/2021,00M8MUbNMWeaujsGqDLn1J,Luaka Bop,2B,,https://i.scdn.co/image/ab67616d000048519cdf34a04873eac662a0dc57,
7,Locket,Crumb,2,98,neo-psychedelic,Folk/Acoustic,Locket,6/23/2017,5:18,39,48,76,73,8,0,0,-10,C♯/D♭ Major,4,3/24/2021,0bxcUgWlOURkU6lZt4zog0,Crumb Records,3B,,https://i.scdn.co/image/ab67616d000048516147b24815415ae922d2a88f,
8,Novocaine,Fog Lake,0,70,"lo-fi indie, newfoundland indie, small room","Rock, Folk/Acoustic",Dragonchaser,2/12/2017,4:21,38,54,4,88,14,0,10,-9,C Major,4,3/24/2021,4kIes4SZwS0uPWeAyOofqu,Fog Lake,8B,,https://i.scdn.co/image/ab67616d000048514d87534f40a130a3755a4737,
9,Black Walls,Chromatics,34,120,"alternative dance, art pop, chillwave, dream pop, electronica, indietronica, modern dream pop, neo-synthpop","Rock, Pop, Electronic",Black Walls,5/18/2018,4:04,74,45,32,82,41,0,10,-10,C Minor,4,3/24/2021,0nhC02p9MyxtON4vCOfJ1v,Italians Do It Better,5A,https://p.scdn.co/mp3-preview/7ead85fbb89d76274e52386f42a96de4c5c5d429?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d840f7a737aad589d01ff5f3,
10,Susie May,beabadoobee,48,85,"bedroom pop, bubblegrunge, indie pop, pov: indie","Pop, Rock",Susie May,4/24/2018,4:26,36,19,97,66,20,0,10,-13,F#/G♭ Major,4,3/24/2021,3JGhWkxALa6OLMjBv6yz79,Dirty Hit,2B,https://p.scdn.co/mp3-preview/e2c9aec09d74fe104338d1dc8b7f0eef06f20e1c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851061f72e345d60fdc0ae97964,
